epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,37.4264,0.62659,1.11912,1.15286,0.779,0.74831,0.90198,0.72102,0.8602,1.71608,1.49863,0.00068075,0.00068075,0.00068075
25,38.5302,0.74414,1.21906,1.24067,0.71772,0.78782,0.90364,0.71631,0.98192,1.69725,1.66743,0.000656,0.000656,0.000656
26,39.6282,0.65004,1.10974,1.15417,0.70111,0.85043,0.90692,0.72914,0.98816,1.57222,1.69725,0.00063125,0.00063125,0.00063125
27,40.7298,0.66701,1.16886,1.1663,0.85317,0.81154,0.90511,0.71448,0.93706,1.38861,1.68085,0.0006065,0.0006065,0.0006065
28,41.8477,0.61028,1.0335,1.14264,0.59295,0.91667,0.83038,0.61787,1.03787,1.92417,1.81805,0.00058175,0.00058175,0.00058175
29,42.9392,0.57757,0.97934,1.09517,0.58698,0.84902,0.7212,0.55734,1.07354,1.90665,1.75992,0.000557,0.000557,0.000557
30,44.0896,0.59643,1.12913,1.10717,0.5931,0.55345,0.62572,0.51759,0.965,1.94451,1.57704,0.00053225,0.00053225,0.00053225
31,45.18,0.62006,1.0816,1.09515,0.53312,0.55417,0.57229,0.46962,0.88446,1.9396,1.48303,0.0005075,0.0005075,0.0005075
32,46.3412,0.66229,1.11942,1.15475,0.96249,0.52848,0.81467,0.63085,0.82393,1.43366,1.37219,0.00048275,0.00048275,0.00048275
33,47.4888,0.66511,1.2225,1.19387,0.68009,0.99434,0.95988,0.75861,0.74682,1.33759,1.27714,0.000458,0.000458,0.000458
34,48.6568,0.60001,1.00292,1.12944,0.9533,0.92389,0.995,0.79867,0.76137,1.24698,1.27676,0.00043325,0.00043325,0.00043325
35,49.7897,0.63686,1.0453,1.14398,0.91289,0.89458,0.98071,0.8099,0.76178,1.22768,1.29451,0.0004085,0.0004085,0.0004085
36,50.9027,0.57448,0.91902,1.06073,0.77151,0.86667,0.93978,0.80634,0.79803,1.27297,1.36984,0.00038375,0.00038375,0.00038375
37,52.058,0.54548,0.98637,1.03549,0.87861,0.91925,0.98071,0.80424,0.77606,1.18986,1.36418,0.000359,0.000359,0.000359
38,53.1279,0.64297,0.98527,1.14514,0.87034,0.95459,0.97833,0.78933,0.78979,1.15815,1.37594,0.00033425,0.00033425,0.00033425
39,54.2349,0.56745,0.91017,1.12361,0.90028,0.78035,0.91196,0.78707,0.81058,1.10136,1.40534,0.0003095,0.0003095,0.0003095
40,55.3527,0.59937,0.95943,1.1562,0.86309,0.74481,0.91792,0.77908,0.79158,1.04443,1.40619,0.00028475,0.00028475,0.00028475
