epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82676,1.0274,3.30032,1.43685,0.00382,1,0.1864,0.14306,0.76931,3.30836,1.28805,5e-05,5e-05,5e-05
2,10.0336,0.98674,3.33592,1.48148,0.00451,1,0.25737,0.19225,0.84352,3.29226,1.39398,0.000110272,0.000110272,0.000110272
3,12.4924,0.72206,2.95994,1.20589,0.00487,1,0.31017,0.24699,0.66916,3.19386,1.17614,0.00016807,0.00016807,0.00016807
4,14.6112,0.76767,2.72305,1.30608,0.00472,1,0.3394,0.2648,0.62035,3.1363,1.1486,0.000223392,0.000223392,0.000223392
5,15.8958,0.68656,2.38645,1.16744,0.00465,1,0.46326,0.30036,0.8,3.14081,1.35454,0.00027624,0.00027624,0.00027624
6,17.0447,0.72535,2.29889,1.25917,0.00461,1,0.45544,0.28646,0.81516,3.15392,1.34264,0.000326613,0.000326613,0.000326613
7,18.275,0.71123,2.13183,1.27555,0.00419,1,0.3821,0.24756,0.88513,3.02725,1.38789,0.00037451,0.00037451,0.00037451
8,19.3884,0.67646,1.94498,1.19729,0.00396,1,0.40254,0.28711,0.8879,2.90889,1.4384,0.000419932,0.000419932,0.000419932
9,20.5252,0.70425,1.87358,1.2354,0.82442,0.23667,0.59093,0.45478,0.90018,2.52964,1.38906,0.00046288,0.00046288,0.00046288
10,21.6949,0.82105,1.76514,1.2926,0.66013,0.47023,0.70075,0.48402,1.01744,2.41175,1.57507,0.000503353,0.000503353,0.000503353
11,22.8214,0.76617,1.6615,1.24601,0.70328,0.43289,0.73493,0.54534,0.91692,2.28634,1.4535,0.00054135,0.00054135,0.00054135
12,23.9956,0.72605,1.63872,1.19267,0.96532,0.42938,0.64685,0.44576,1.00715,2.27666,1.60885,0.000576873,0.000576873,0.000576873
13,25.1073,0.66742,1.44355,1.14658,0.85915,0.5217,0.61075,0.41878,0.84798,2.34675,1.47633,0.00060992,0.00060992,0.00060992
14,26.2615,0.7378,1.47374,1.22584,0.46,0.5375,0.5503,0.38421,0.97888,2.23177,1.61272,0.000640492,0.000640492,0.000640492
15,27.4033,0.69852,1.39944,1.20999,0.57209,0.90031,0.72794,0.50915,0.99971,1.94927,1.73209,0.00066859,0.00066859,0.00066859
16,28.517,0.77151,1.47348,1.26445,0.54004,0.775,0.67413,0.49253,1.06346,2.18655,1.72441,0.000694212,0.000694212,0.000694212
17,29.6577,0.65105,1.32994,1.13986,0.5771,0.56624,0.66455,0.4081,1.28012,2.36192,2.04268,0.00071736,0.00071736,0.00071736
18,30.7546,0.827,1.43054,1.29226,0.44512,0.65,0.67289,0.39225,1.11105,2.9619,1.76044,0.000738032,0.000738032,0.000738032
19,31.8873,0.72579,1.31156,1.17393,0.49103,0.59089,0.67712,0.41944,0.86684,2.75969,1.49298,0.00075623,0.00075623,0.00075623
20,33.0198,0.69956,1.21532,1.21132,0.62774,0.84348,0.89658,0.61449,0.98086,1.75601,1.7899,0.000771953,0.000771953,0.000771953
21,34.1042,0.70988,1.31092,1.18841,0.45566,0.86667,0.78042,0.51949,1.02898,2.05893,1.84602,0.000755,0.000755,0.000755
22,35.2101,0.79259,1.31922,1.20623,0.53079,0.86667,0.70221,0.47076,0.97502,2.0242,1.66603,0.00073025,0.00073025,0.00073025
23,36.2928,0.60443,1.2923,1.09935,0.52508,0.82805,0.72848,0.51659,0.859,1.973,1.52904,0.0007055,0.0007055,0.0007055
